dia_Id,Dia;hora_Id,Hora,dia_Id;Dir.Med._a_1100cm,Humedad._a_620cm,Irradia.._a_200cm,Presion._a_150cm,Sig.Dir._a_1100cm,Sig.Vel._a_1100cm,Tem.Aire._a_620cm,Vel.Max._a_1100cm,Vel.Med._a_1100cm,hora_Id
"0,""2016-8-01""";"101,""16:50"",0";"16.58,""63.18"",""456.6"",""957.83"",""19.32"",""1.62"",""21.59"",""8.62"",""5.03"",101"
"0,""2016-8-01""";"102,""17:00"",0";"29.9,""65.63"",""421.9"",""957.75"",""9.73"",""1.08"",""21.04"",""9.02"",""6.51"",102"
"0,""2016-8-01""";"103,""17:10"",0";"39.06,""65.46"",""390.0"",""957.7"",""12.45"",""1.16"",""20.98"",""8.72"",""6.23"",103"
"0,""2016-8-01""";"104,""17:20"",0";"22.89,""65.62"",""357.9"",""957.66"",""15.09"",""1.26"",""21.02"",""8.62"",""6.07"",104"
"0,""2016-8-01""";"105,""17:30"",0";"28.84,""66.49"",""334.2"",""957.63"",""9.72"",""1.09"",""20.76"",""8.72"",""6.49"",105"
"0,""2016-8-01""";"106,""17:40"",0";"18.44,""67.64"",""302.2"",""957.67"",""15.88"",""1.28"",""20.79"",""8.92"",""5.99"",106"
"0,""2016-8-01""";"107,""17:50"",0";"24.18,""68.63"",""268.4"",""957.78"",""14.42"",""1.36"",""20.56"",""8.72"",""6.0"",107"
"0,""2016-8-01""";"108,""18:00"",0";"32.18,""67.78"",""235.2"",""957.76"",""18.0"",""1.42"",""20.38"",""8.33"",""5.47"",108"
"0,""2016-8-01""";"109,""18:10"",0";"19.39,""68.31"",""201.4"",""957.78"",""15.92"",""1.3"",""20.48"",""8.43"",""5.32"",109"
"0,""2016-8-01""";"110,""18:20"",0";"24.07,""69.1"",""166.0"",""957.92"",""19.21"",""1.64"",""20.29"",""8.33"",""5.1"",110"
"0,""2016-8-01""";"111,""18:30"",0";"11.32,""69.34"",""131.6"",""958.0"",""24.19"",""1.45"",""20.38"",""7.64"",""4.24"",111"
"0,""2016-8-01""";"112,""18:40"",0";"20.61,""70.84"",""111.1"",""958.06"",""18.32"",""1.38"",""20.07"",""8.43"",""4.87"",112"
"0,""2016-8-01""";"113,""18:50"",0";"5.51,""71.23"",""84.1"",""958.17"",""19.59"",""1.69"",""19.95"",""7.74"",""4.26"",113"
"0,""2016-8-01""";"114,""19:00"",0";"14.71,""72.67"",""38.5"",""958.28"",""24.36"",""1.55"",""19.59"",""7.35"",""3.53"",114"
"0,""2016-8-01""";"115,""19:10"",0";"5.42,""74.49"",""35.61"",""958.4"",""25.11"",""1.3"",""19.43"",""6.66"",""3.6"",115"
"0,""2016-8-01""";"116,""19:20"",0";"1.59,""76.52"",""12.98"",""958.53"",""18.01"",""1.19"",""18.95"",""7.45"",""4.26"",116"
"0,""2016-8-01""";"117,""19:30"",0";"1.63,""77.23"",""3.65"",""958.6"",""17.26"",""1.19"",""18.69"",""6.27"",""3.6"",117"
"0,""2016-8-01""";"118,""19:40"",0";"16.02,""78.15"",""1.53"",""958.66"",""17.82"",""1.03"",""18.38"",""6.08"",""3.77"",118"
"0,""2016-8-01""";"119,""19:50"",0";"17.46,""79.06"",""0.49"",""958.73"",""19.26"",""1.01"",""18.22"",""6.47"",""3.54"",119"
"0,""2016-8-01""";"120,""20:00"",0";"23.18,""80.7"",""0.15"",""958.77"",""15.65"",""1.0"",""17.97"",""6.27"",""3.8"",120"
"0,""2016-8-01""";"121,""20:10"",0";"23.4,""81.9"",""0.13"",""958.82"",""16.31"",""1.0"",""17.84"",""6.96"",""3.66"",121"
"0,""2016-8-01""";"122,""20:20"",0";"19.26,""82.8"",""0.07"",""958.91"",""19.21"",""0.74"",""17.75"",""4.9"",""2.61"",122"
"0,""2016-8-01""";"123,""20:30"",0";"30.14,""82.9"",""0.05"",""959.02"",""12.73"",""0.67"",""17.68"",""4.12"",""2.35"",123"
"0,""2016-8-01""";"124,""20:40"",0";"18.29,""83.1"",""0.06"",""959.13"",""19.89"",""0.77"",""17.6"",""3.33"",""2.01"",124"
"0,""2016-8-01""";"125,""20:50"",0";"0.13,""83.2"",""0.04"",""959.19"",""20.73"",""1.0"",""17.54"",""4.7"",""2.11"",125"
"0,""2016-8-01""";"126,""21:00"",0";"2.32,""84.0"",""0.06"",""959.35"",""28.18"",""0.7"",""17.35"",""4.21"",""2.03"",126"
"0,""2016-8-01""";"127,""21:10"",0";"347.6,""84.5"",""0.03"",""959.43"",""24.76"",""0.82"",""17.25"",""4.02"",""1.88"",127"
"0,""2016-8-01""";"128,""21:20"",0";"1.02,""84.8"",""0.04"",""959.48"",""22.01"",""0.76"",""17.09"",""3.72"",""1.67"",128"
"0,""2016-8-01""";"129,""21:30"",0";"355.2,""84.7"",""0.03"",""959.49"",""20.64"",""0.51"",""16.98"",""2.45"",""1.27"",129"
"0,""2016-8-01""";"130,""21:40"",0";"3.78,""83.9"",""0.09"",""959.52"",""20.84"",""0.48"",""17.04"",""2.06"",""0.81"",130"
"0,""2016-8-01""";"131,""21:50"",0";"5.23,""83.1"",""0.15"",""959.57"",""24.31"",""0.38"",""17.11"",""1.86"",""0.92"",131"
"0,""2016-8-01""";"132,""22:00"",0";"352.8,""83.0"",""0.14"",""959.59"",""24.73"",""0.78"",""17.09"",""3.23"",""1.31"",132"
"0,""2016-8-01""";"133,""22:10"",0";"354.8,""83.7"",""0.19"",""959.56"",""22.81"",""0.77"",""16.97"",""3.14"",""1.74"",133"
"0,""2016-8-01""";"134,""22:20"",0";"356.3,""84.3"",""0.13"",""959.5"",""26.76"",""0.92"",""16.75"",""4.02"",""1.78"",134"
"0,""2016-8-01""";"135,""22:30"",0";"356.5,""84.0"",""0.08"",""959.51"",""21.03"",""0.61"",""16.68"",""3.23"",""1.77"",135"
"0,""2016-8-01""";"136,""22:40"",0";"1.56,""84.7"",""0.02"",""959.5"",""22.65"",""0.46"",""16.51"",""2.35"",""1.45"",136"
"0,""2016-8-01""";"137,""22:50"",0";"358.9,""84.5"",""0.03"",""959.44"",""18.72"",""0.47"",""16.49"",""1.96"",""0.98"",137"
"0,""2016-8-01""";"138,""23:00"",0";"340.0,""84.3"",""0.06"",""959.43"",""17.07"",""0.45"",""16.52"",""2.16"",""0.86"",138"
"0,""2016-8-01""";"139,""23:10"",0";"8.23,""84.2"",""0.02"",""959.35"",""36.6"",""0.25"",""16.56"",""0.98"",""0.24"",139"
"0,""2016-8-01""";"140,""23:20"",0";"38.19,""84.5"",""0.02"",""959.27"",""19.82"",""0.29"",""16.42"",""1.08"",""0.47"",140"
"0,""2016-8-01""";"141,""23:30"",0";"8.23,""85.1"",""0.03"",""959.2"",""5.51"",""0.21"",""16.25"",""0.69"",""0.21"",141"
"0,""2016-8-01""";"142,""23:40"",0";"41.14,""85.7"",""0.01"",""959.12"",""9.79"",""0.09"",""16.08"",""0.39"",""0.05"",142"
"0,""2016-8-01""";"143,""23:50"",0";"342.9,""86.3"",""0.04"",""959.12"",""16.19"",""0.39"",""15.98"",""1.18"",""0.51"",143"
"0,""2016-8-01""";"144,""00:00"",1";"330.6,""86.7"",""0.05"",""959.13"",""10.06"",""0.15"",""15.88"",""1.08"",""0.68"",144"
"0,""2016-8-01""";"145,""00:10"",1";"335.7,""87.0"",""0.05"",""959.11"",""8.9"",""0.32"",""15.81"",""1.37"",""0.74"",145"
"0,""2016-8-01""";"146,""00:20"",1";"336.0,""87.1"",""0.04"",""959.04"",""15.31"",""0.33"",""15.82"",""1.37"",""0.57"",146"
