Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
17/02/2016;0,63;;0,24;Muy buena / Oso ona;0,27;9;72;Buena / Ona;41;0,72;13;Muy buena / Oso ona;5;Muy buena / Oso ona;1,29;Buena / Ona
16/02/2016;0,49;;0,22;Muy buena / Oso ona;0,14;8;55;Buena / Ona;42;0,19;8;Muy buena / Oso ona;2;Muy buena / Oso ona;0,44;Buena / Ona
15/02/2016;0,39;;0,18;Muy buena / Oso ona;0,13;7;46;Muy buena / Oso ona;35;0,22;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;0,33;Muy buena / Oso ona
14/02/2016;0,27;;0,18;Muy buena / Oso ona;0,1;0;16;Muy buena / Oso ona;8;0,14;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,19;Muy buena / Oso ona
13/02/2016;0,28;;0,3;Muy buena / Oso ona;0,23;2;51;Buena / Ona;20;0,55;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;0,72;Buena / Ona
12/02/2016;0,48;;0,3;Muy buena / Oso ona;0,38;9;60;Buena / Ona;43;1,08;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,37;Buena / Ona
11/02/2016;0,86;;0,42;Muy buena / Oso ona;0,49;15;69;Buena / Ona;72;1,56;14;Muy buena / Oso ona;5;Muy buena / Oso ona;3,46;Buena / Ona
10/02/2016;0,56;;0,32;Muy buena / Oso ona;0,29;18;129;Mejorable / Hobetzeko modukoa;73;0,79;7;Muy buena / Oso ona;3;Muy buena / Oso ona;1,16;Mejorable / Hobetzeko modukoa
09/02/2016;0,21;;0,19;Muy buena / Oso ona;0,15;2;54;Buena / Ona;17;0,29;5;Muy buena / Oso ona;2;Muy buena / Oso ona;0,29;Buena / Ona
08/02/2016;0,25;;0,16;Muy buena / Oso ona;0,07;0;12;Muy buena / Oso ona;9;0,12;7;Muy buena / Oso ona;3;Muy buena / Oso ona;0,24;Muy buena / Oso ona
07/02/2016;0,28;;0,24;Muy buena / Oso ona;0,17;;21;Muy buena / Oso ona;9;;5;Muy buena / Oso ona;3;Muy buena / Oso ona;0,35;Muy buena / Oso ona
06/02/2016;0,77;;0,44;Muy buena / Oso ona;0,67;22;58;Buena / Ona;59;2,67;24;Muy buena / Oso ona;14;Muy buena / Oso ona;2,41;Buena / Ona
05/02/2016;1,23;;0,45;Muy buena / Oso ona;2,05;38;71;Buena / Ona;101;9,64;25;Muy buena / Oso ona;13;Muy buena / Oso ona;5,14;Buena / Ona
04/02/2016;0,83;;0,35;Muy buena / Oso ona;1,23;;89;Buena / Ona;91;11,9;16;Muy buena / Oso ona;6;Muy buena / Oso ona;3,02;Buena / Ona
03/02/2016;1,06;;0,26;Muy buena / Oso ona;1,2;;49;Muy buena / Oso ona;28;1,07;10;Muy buena / Oso ona;5;Muy buena / Oso ona;1,52;Muy buena / Oso ona
02/02/2016;0,83;;0,39;Muy buena / Oso ona;0,7;30;69;Buena / Ona;83;2,51;28;Buena / Ona;14;Muy buena / Oso ona;2,97;Buena / Ona
01/02/2016;0,89;;0,5;Muy buena / Oso ona;0,6;46;81;Buena / Ona;106;2,3;22;Muy buena / Oso ona;10;Muy buena / Oso ona;3,14;Buena / Ona
31/01/2016;0,93;;0,47;Muy buena / Oso ona;0,4;17;57;Buena / Ona;56;1,19;15;Muy buena / Oso ona;10;Muy buena / Oso ona;2,35;Buena / Ona
30/01/2016;0,89;;0,41;Muy buena / Oso ona;0,55;19;64;Buena / Ona;63;2,04;15;Muy buena / Oso ona;8;Muy buena / Oso ona;3,38;Buena / Ona
29/01/2016;0,7;;0,34;Muy buena / Oso ona;0,33;17;74;Buena / Ona;65;0,96;18;Muy buena / Oso ona;7;Muy buena / Oso ona;1,9;Buena / Ona
28/01/2016;0,55;;0,27;Muy buena / Oso ona;0,49;5;74;Buena / Ona;40;1,51;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1,55;Buena / Ona
27/01/2016;0,44;;0,23;Muy buena / Oso ona;0,3;3;39;Muy buena / Oso ona;23;0,72;14;Muy buena / Oso ona;5;Muy buena / Oso ona;0,92;Muy buena / Oso ona
26/01/2016;0,57;;0,22;Muy buena / Oso ona;0,48;5;37;Muy buena / Oso ona;30;1,32;15;Muy buena / Oso ona;7;Muy buena / Oso ona;1,37;Muy buena / Oso ona
25/01/2016;1,3;;0,72;Muy buena / Oso ona;0,59;43;72;Buena / Ona;98;3,71;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;4,02;Buena / Ona
24/01/2016;1,06;;0,65;Muy buena / Oso ona;0,04;22;50;Muy buena / Oso ona;59;2,44;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;3,47;Muy buena / Oso ona
23/01/2016;2,08;;0,64;Muy buena / Oso ona;0,05;70;82;Buena / Ona;147;5,58;;Sin datos / Daturik gabe;15;Muy buena / Oso ona;7,91;Buena / Ona
22/01/2016;2,65;;0,77;Muy buena / Oso ona;0,04;85;92;Buena / Ona;184;4,64;32;Buena / Ona;16;Muy buena / Oso ona;9,27;Buena / Ona
